distance_m,interpolated_flywheel_rpm,commanded_rounded_rpm,hood_angle_deg,validated_score_probability,validated_clean_probability,validation_samples
4.000,1900.000,1900.0,70.0000,1.000000,0.664062,128
4.050,1912.500,1925.0,70.0000,1.000000,0.710938,128
4.100,1925.000,1925.0,70.0000,1.000000,0.664062,128
4.150,1937.500,1950.0,70.0000,1.000000,0.734375,128
4.200,1950.000,1950.0,70.0000,1.000000,0.710938,128
4.250,1962.500,1975.0,70.0000,1.000000,0.640625,128
4.300,1975.000,1975.0,70.0000,1.000000,0.820312,128
4.350,1987.500,2000.0,70.0000,1.000000,0.710938,128
4.400,2000.000,2000.0,70.0000,1.000000,0.687500,128
4.450,2012.500,2025.0,70.0000,0.992188,0.625000,128
4.500,2025.000,2025.0,70.0000,1.000000,0.687500,128
4.550,2037.625,2050.0,70.0000,1.000000,0.710938,128
4.600,2050.444,2050.0,70.0000,0.992188,0.640625,128
4.650,2063.375,2075.0,70.0000,1.000000,0.640625,128
4.700,2076.333,2075.0,70.0000,1.000000,0.601562,128
4.750,2089.236,2100.0,70.0000,1.000000,0.632812,128
4.800,2102.000,2100.0,70.0000,1.000000,0.625000,128
4.850,2114.542,2125.0,70.0000,1.000000,0.679688,128
4.900,2126.778,2125.0,70.0000,0.992188,0.585938,128
4.950,2138.625,2150.0,70.0000,1.000000,0.585938,128
5.000,2150.000,2150.0,70.0000,1.000000,0.609375,128
5.050,2160.800,2150.0,70.0000,1.000000,0.585938,128
5.100,2171.067,2175.0,70.0000,0.984375,0.593750,128
5.150,2180.933,2175.0,70.0000,1.000000,0.734375,128
5.200,2190.533,2200.0,70.0000,0.992188,0.562500,128
5.250,2200.000,2200.0,70.0000,1.000000,0.679688,128
5.300,2209.467,2200.0,70.0000,1.000000,0.500000,128
5.350,2219.067,2225.0,70.0000,0.992188,0.539062,128
5.400,2228.933,2225.0,70.0000,0.992188,0.609375,128
5.450,2239.200,2250.0,70.0000,0.992188,0.578125,128
5.500,2250.000,2250.0,70.0000,1.000000,0.671875,128
5.550,2261.263,2250.0,70.0000,1.000000,0.523438,128
5.600,2272.822,2275.0,70.0000,1.000000,0.570312,128
5.650,2284.671,2275.0,70.0000,1.000000,0.578125,128
5.700,2296.800,2300.0,70.0000,1.000000,0.554688,128
5.750,2309.201,2300.0,70.0000,0.992188,0.585938,128
5.800,2321.867,2325.0,70.0000,0.992188,0.625000,128
5.850,2334.788,2325.0,70.0000,0.984375,0.460938,128
5.900,2347.956,2350.0,70.0000,0.984375,0.546875,128
5.950,2361.363,2350.0,70.0000,0.992188,0.570312,128
6.000,nan,nan,nan,0.000000,0.000000,128
